,Year,STATECOUNTY,ACS_N_TOTAL_POP,ACS_N_MALE,ACS_N_FEMALE,ACS_N_RACE_TOTAL_POP,ACS_N_RACE_WHITE,ACS_N_RACE_BLACK,ACS_N_RACE_AMERIND,ACS_N_RACE_ASIAN,ACS_N_RACE_HAWPACISL,ACS_N_RACE_OTHER,ACS_N_RACE_TWOORMORE,ACS_N_ETHN_HISPLAT_Y,ACS_N_ETHN_HISPLAT_N,ACS_N_POVERTY_STAT,ACS_N_POVERTY_STAT_BELOW_100_PCT,ACS_N_POVERTY_STAT_100_TO_149_PCT,ACS_N_POVERTY_STAT_ABOVE_150_PCT,ACS_N_INSURED_NON_INST,ACS_N_INSURED_NON_INST_UNDER_19,ACS_N_INSURED_NON_INST_19_TO_64,ACS_N_INSURED_NON_INST_OVER_65,ACS_N_DISABIL_Y,ACS_N_DISABIL_N,STATE,COUNTY,ACS_MED_AGE,ACS_MED_AGE_M,ACS_MED_AGE_F,ACS_MED_INCOME_PAST_12MO,ACS_MED_INCOME
85,2018,17_7,53606,26830,26776,51775,46326,1187,179,631,0,3452,1278,11349,38938,52553,5716,4010,42827,49863,14198,28036,7629,5820,44043,17,7,38.6,37.3,39.57142857142857,29782.714285714286,29782.714285714286
86,2018,17_71,6884,3369,3515,6750,6681,5,16,48,0,0,77,117,6571,6764,549,583,5632,6369,1276,3430,1663,1095,5274,17,71,49.5,48.333333333333336,50.73333333333333,27261.0,27261.0
87,2018,17_73,49464,24536,24928,48161,46041,838,102,274,0,906,796,2755,44359,48116,5698,3495,38923,46576,11455,25685,9436,6079,40497,17,73,43.400000000000006,41.76923076923076,44.34615384615385,29794.923076923078,29794.923076923078
88,2018,17_75,28169,13751,14418,27489,25896,290,16,91,0,1196,416,1868,25158,27339,3782,2929,20628,26068,6194,14307,5567,4213,21855,17,75,44.41111111111112,43.23333333333333,46.22222222222222,26793.555555555555,26793.555555555555
89,2018,17_77,58551,28989,29562,55837,44445,8551,111,2003,8,719,2050,2510,43008,53625,14595,5680,33350,53700,11817,33721,8162,7710,45990,17,77,35.892857142857146,35.20714285714286,36.57142857142857,22769.928571428572,22769.928571428572
90,2018,17_79,9598,4809,4789,9372,9225,92,16,4,0,35,99,24,9204,9254,1217,664,7373,8841,2236,4859,1746,1895,6946,17,79,43.53333333333333,42.6,43.800000000000004,26221.666666666668,26221.666666666668
91,2018,17_81,38169,19567,18602,36731,33012,3142,44,440,0,93,900,963,32270,35012,6386,2985,25641,33641,8497,18583,6561,6631,27010,17,81,40.60909090909091,39.154545454545456,42.28181818181818,25131.545454545456,25131.545454545456
92,2018,17_83,22069,10841,11228,21428,21222,105,23,47,0,31,513,302,21034,20981,1922,1581,17478,20547,4864,11858,3825,2864,17683,17,83,43.56666666666666,42.36666666666667,44.883333333333326,30217.5,30217.5
93,2018,17_85,21834,10956,10878,21425,21089,110,57,95,12,62,267,641,20573,21479,1781,1843,17855,20658,4383,10635,5640,3020,17638,17,85,50.5,50.38333333333333,50.949999999999996,30787.666666666668,30787.666666666668
94,2018,17_87,12602,7015,5587,12407,10850,1486,13,44,0,14,32,403,10484,10152,1192,1043,7917,9970,2444,5030,2496,1625,8345,17,87,44.175,43.85,46.96666666666667,21964.0,21964.0
