,Unnamed: 0,Year,NAME,TRACT,STATE,COUNTY,ACS_GEO_ID,ACS_N_TOTAL_POP,ACS_N_MALE,ACS_N_FEMALE,ACS_MED_AGE,ACS_MED_AGE_M,ACS_MED_AGE_F,ACS_N_RACE_TOTAL_POP,ACS_N_RACE_WHITE,ACS_N_RACE_BLACK,ACS_N_RACE_AMERIND,ACS_N_RACE_ASIAN,ACS_N_RACE_HAWPACISL,ACS_N_RACE_OTHER,ACS_N_RACE_TWOORMORE,ACS_N_ETHN_HISPLAT_Y,ACS_N_ETHN_HISPLAT_N,ACS_MED_INCOME,ACS_MED_INCOME_PAST_12MO,ACS_N_POVERTY_STAT,ACS_N_POVERTY_STAT_BELOW_100_PCT,ACS_N_POVERTY_STAT_100_TO_149_PCT,ACS_N_POVERTY_STAT_ABOVE_150_PCT,ACS_N_INSURED_NON_INST,ACS_N_INSURED_NON_INST_UNDER_19,ACS_N_INSURED_NON_INST_19_TO_64,ACS_N_INSURED_NON_INST_OVER_65,ACS_N_DISABIL_Y,ACS_N_DISABIL_N,STATECOUNTY,N_BLACK,PCT_BLACK,N_NOT_WHITE,PCT_NOT_WHITE,N_UNINSURED,PCT_UNINSURED,N_POVERTY_STAT,PCT_POVERTY_STAT,N_DISABIL_STAT,PCT_DISABIL_STAT,COUNTY_NAME,bucket,bucket_idx,midpoint
4294,4294,2018,"Census Tract 2113.01, St. Louis County, Missouri",211301,29,189,1400000US29189211301,6399,2589,3810,38.3,36.7,38.8,6055,4817,1076,141,20,0,1,228,149,4669,27705,27705,6106,1113,408,4585,5782,1674,3233,875,849,4933,29189,1076,0.177704377,1238,0.204459125,617,0.096421316,1113,0.182279725,849,0.146835005,St. Louis County,"(25000, 32000]",60,28500
4118,4118,2018,"Census Tract 2105.01, St. Louis County, Missouri",210501,29,189,1400000US29189210501,3260,1374,1886,39.3,37.1,39.9,3134,160,2974,0,0,0,0,76,35,125,27676,27676,3210,333,500,2377,2802,896,1350,556,565,2237,29189,2974,0.948947033,2974,0.948947033,458,0.140490798,333,0.103738318,565,0.201641685,St. Louis County,"(25000, 32000]",46,28500
4282,4282,2018,"Census Tract 2159, St. Louis County, Missouri",215900,29,189,1400000US29189215900,6171,2653,3518,40.2,38.2,42,5953,1328,4421,32,19,0,153,125,169,1312,27639,27639,5949,785,565,4599,5249,1009,3201,1039,832,4417,29189,4421,0.742650764,4625,0.7769192,922,0.149408524,785,0.13195495,832,0.158506382,St. Louis County,"(25000, 32000]",58,28500
3321,3321,2018,"Census Tract 1024, St. Louis city, Missouri",102400,29,510,1400000US29510102400,2479,1265,1214,38.1,39.4,36.3,2391,2187,204,0,0,0,0,0,48,2139,27560,27560,2391,365,53,1973,2297,413,1471,413,297,2000,29510,204,0.08531995,204,0.08531995,182,0.0734167,365,0.152655793,297,0.129299086,St. Louis City,"(25000, 32000]",5,28500
3870,3870,2018,"Census Tract 2116, St. Louis County, Missouri",211600,29,189,1400000US29189211600,6288,2996,3292,36.7,29.6,39.5,6088,2032,4002,0,24,15,15,165,187,1845,27433,27433,6195,595,564,5036,5425,1674,3040,711,954,4471,29189,4002,0.657358739,4056,0.666228647,863,0.137245547,595,0.096045198,954,0.175852535,St. Louis County,"(25000, 32000]",37,28500
3742,3742,2018,"Census Tract 2108.04, St. Louis County, Missouri",210804,29,189,1400000US29189210804,9489,3945,5544,41,38.1,42.7,8725,1278,7059,12,376,0,0,588,0,1278,27431,27431,9090,963,510,7617,8540,2146,4748,1646,1347,7193,29189,7059,0.809054441,7447,0.853524355,949,0.100010539,963,0.105940594,1347,0.157728337,St. Louis County,"(25000, 32000]",26,28500
3645,3645,2018,"Census Tract 2201, St. Louis County, Missouri",220100,29,189,1400000US29189220100,7664,3582,4082,39,38.6,39.1,7401,7044,121,0,203,0,33,102,140,6937,27257,27257,7408,1242,337,5829,6591,1632,3779,1180,1268,5323,29189,121,0.016349142,357,0.048236725,1073,0.140005219,1242,0.167656587,1268,0.192383553,St. Louis County,"(25000, 32000]",17,28500
3878,3878,2018,"Census Tract 2148, St. Louis County, Missouri",214800,29,189,1400000US29189214800,4692,2236,2456,41.6,34.5,46.6,4517,3128,1229,0,146,0,14,112,215,2913,27231,27231,4629,727,253,3649,4131,914,2455,762,1005,3126,29189,1229,0.272083241,1389,0.307504981,561,0.119565217,727,0.157053359,1005,0.243282498,St. Louis County,"(25000, 32000]",39,28500
3342,3342,2018,"Census Tract 1014, St. Louis city, Missouri",101400,29,510,1400000US29510101400,2780,1403,1377,38.2,35.7,39,2736,1709,865,0,79,72,11,15,54,1666,27083,27083,2733,572,355,1806,2584,632,1631,321,422,2162,29510,865,0.316154971,1027,0.375365497,196,0.070503597,572,0.209293816,422,0.163312693,St. Louis City,"(25000, 32000]",7,28500
3860,3860,2018,"Census Tract 2169, St. Louis County, Missouri",216900,29,189,1400000US29189216900,2276,1024,1252,32.2,32.1,32.2,2250,1587,616,0,47,0,0,19,50,1544,26997,26997,2269,350,243,1676,2003,354,1468,181,236,1767,29189,616,0.273777778,663,0.294666667,273,0.119947276,350,0.154252975,236,0.117823265,St. Louis County,"(25000, 32000]",34,28500
