,Year,NAME,TRACT,STATE,COUNTY,ACS_GEO_ID,ACS_N_TOTAL_POP,ACS_N_MALE,ACS_N_FEMALE,ACS_MED_AGE,ACS_MED_AGE_M,ACS_MED_AGE_F,ACS_N_RACE_TOTAL_POP,ACS_N_RACE_WHITE,ACS_N_RACE_BLACK,ACS_N_RACE_AMERIND,ACS_N_RACE_ASIAN,ACS_N_RACE_HAWPACISL,ACS_N_RACE_OTHER,ACS_N_RACE_TWOORMORE,ACS_N_ETHN_HISPLAT_Y,ACS_N_ETHN_HISPLAT_N,ACS_MED_INCOME,ACS_MED_INCOME_PAST_12MO,ACS_N_POVERTY_STAT,ACS_N_POVERTY_STAT_BELOW_100_PCT,ACS_N_POVERTY_STAT_100_TO_149_PCT,ACS_N_POVERTY_STAT_ABOVE_150_PCT,ACS_N_INSURED_NON_INST,ACS_N_INSURED_NON_INST_UNDER_19,ACS_N_INSURED_NON_INST_19_TO_64,ACS_N_INSURED_NON_INST_OVER_65,ACS_N_DISABIL_Y,ACS_N_DISABIL_N
2286,2018,"Census Tract 4027.21, Madison County, Illinois",402721,17,119,1400000US17119402721,7843,3943,3900,45.6,40.7,49.1,7598,6945,621,0,0,0,32,50,113,6864,31856.0,31856.0,7643,535,456,6652,7624,1881,4035,1708,1079,6545
2287,2018,"Census Tract 4028.03, Madison County, Illinois",402803,17,119,1400000US17119402803,3212,1448,1764,45.3,47.1,45.0,3099,2902,190,0,7,0,0,104,23,2879,36296.0,36296.0,3108,365,53,2690,3045,711,1853,481,369,2676
2288,2018,"Census Tract 4029, Madison County, Illinois",402900,17,119,1400000US17119402900,4712,1963,2749,29.8,33.7,27.9,4376,4052,284,0,40,0,0,284,73,3979,30487.0,30487.0,4660,885,165,3610,4553,1080,2970,503,570,3983
2289,2018,"Census Tract 4031.22, Madison County, Illinois",403122,17,119,1400000US17119403122,5705,2863,2842,38.3,36.7,40.1,5597,5061,400,14,105,0,17,33,33,5061,49184.0,49184.0,5450,379,224,4847,5190,1606,2696,888,403,4787
2290,2018,"Census Tract 4007, Madison County, Illinois",400700,17,119,1400000US17119400700,2128,983,1145,32.1,26.4,38.3,2019,117,1891,0,11,0,0,39,33,110,18795.0,18795.0,2034,616,485,933,1924,675,958,291,330,1594
2291,2018,"Census Tract 4009.04, Madison County, Illinois",400904,17,119,1400000US17119400904,3498,1774,1724,42.1,37.7,47.2,3428,3297,52,0,5,0,74,27,98,3273,32440.0,32440.0,3448,174,250,3024,3297,721,1948,628,521,2776
2292,2018,"Census Tract 4011, Madison County, Illinois",401100,17,119,1400000US17119401100,6377,2926,3451,38.3,38.7,36.8,6124,5900,126,12,86,0,0,161,28,5900,25699.0,25699.0,6029,1232,681,4116,5751,1529,3280,942,979,4772
2293,2018,"Census Tract 4015, Madison County, Illinois",401500,17,119,1400000US17119401500,2900,1396,1504,35.9,36.9,35.7,2755,2262,493,0,0,0,0,145,99,2163,21138.0,21138.0,2877,665,407,1805,2706,673,1702,331,474,2232
2294,2018,"Census Tract 4017.22, Madison County, Illinois",401722,17,119,1400000US17119401722,2655,1231,1424,45.1,43.9,45.1,2609,2557,20,0,0,0,32,37,86,2503,31298.0,31298.0,2621,149,93,2379,2615,532,1615,468,367,2248
2295,2018,"Census Tract 4023, Madison County, Illinois",402300,17,119,1400000US17119402300,1805,935,870,43.5,35.1,50.0,1735,1496,235,0,4,0,0,50,36,1480,31338.0,31338.0,1754,165,219,1370,1673,332,1024,317,267,1406
2296,2018,"Census Tract 4030.01, Madison County, Illinois",403001,17,119,1400000US17119403001,4996,2620,2376,35.5,33.0,36.9,4828,3830,765,3,215,0,15,67,71,3824,29519.0,29519.0,4367,602,317,3448,4294,952,2780,562,309,3985
2297,2018,"Census Tract 4035.31, Madison County, Illinois",403531,17,119,1400000US17119403531,7784,3665,4119,36.5,35.0,37.4,7493,7317,127,0,49,0,0,204,343,7046,37443.0,37443.0,7675,521,285,6869,7533,1995,4588,950,852,6681
2298,2018,"Census Tract 4009.52, Madison County, Illinois",400952,17,119,1400000US17119400952,3014,1491,1523,39.1,37.9,40.7,2934,2547,186,17,15,0,169,69,355,2382,28078.0,28078.0,3003,346,366,2291,2717,625,1703,389,505,2212
2299,2018,"Census Tract 8239.01, Cook County, Illinois",823901,17,31,1400000US17031823901,3650,1636,2014,56.1,53.7,58.0,3562,3235,46,61,196,9,15,63,153,3158,37963.0,37963.0,3510,72,140,3298,3359,646,1610,1103,447,2912
2300,2018,"Census Tract 8246.01, Cook County, Illinois",824601,17,31,1400000US17031824601,4574,2299,2275,40.2,42.6,38.8,4464,4133,155,0,60,0,116,89,581,3668,37960.0,37960.0,4543,321,205,4017,4303,965,2658,680,456,3847
2301,2018,"Census Tract 8247.02, Cook County, Illinois",824702,17,31,1400000US17031824702,5565,3116,2449,37.8,36.2,40.3,5367,4326,671,57,42,0,271,182,1549,3120,27439.0,27439.0,5359,663,838,3858,4983,1301,2990,692,324,4659
2302,2018,"Census Tract 2002, Cook County, Illinois",200200,17,31,1400000US17031200200,4800,2566,2234,36.3,34.3,36.8,4666,2269,234,41,97,19,2006,83,3792,599,23656.0,23656.0,4749,981,681,3087,4045,896,2615,534,610,3435
2303,2018,"Census Tract 2214, Cook County, Illinois",221400,17,31,1400000US17031221400,3026,1839,1187,32.8,32.0,34.1,2793,2352,131,0,90,13,207,139,1274,1347,48698.0,48698.0,2932,213,401,2318,2778,608,2020,150,151,2627
2304,2018,"Census Tract 2303, Cook County, Illinois",230300,17,31,1400000US17031230300,1001,591,410,28.8,29.0,28.4,979,387,7,77,0,0,508,3,794,101,26557.0,26557.0,968,180,219,569,820,314,458,48,106,714
